ppm,p_ctr,p_corr
0.7,-0.0009327778964065909,-0.05669350239602538
7.3,-0.0008581673033328431,-0.05629895875068652
8.14,0.0008531179779651247,0.2336927159005734
2.94,-0.0008514589597113627,-0.1434967226675039
7.06,-0.0007562490095830448,-0.12845648261235632
2.18,-0.0007440653949558298,-0.004542215003921738
6.9,0.0007401485815615386,0.07008253154533392
5.58,-0.0006567877391839031,-0.3489226015076416
0.66,-0.000637647829688122,-0.11952848424462047
2.74,-0.0006145911209458813,-0.009769515289537883
7.78,-0.0006114314530226325,-0.20743833735184924
7.1,0.0005256383021850668,0.11853051311081936
7.14,-0.0005128498886648677,-0.0989004759603041
5.62,-0.0005091523597872637,-0.2924580217189356
8.26,0.00048207527106227337,0.23972013676148138
1.58,-0.0004811002386277298,-0.026757939050077124
0.78,-0.00042938614154746946,-0.07799761967100138
7.82,-0.00037652297200510554,-0.06974936550573856
7.74,-0.0003742992427017055,-0.09559088415462537
8.34,-0.0003518483073247675,-0.06349383371692861
7.94,0.0003269030666338038,0.07696382826178845
2.78,-0.0003170887867446593,-0.015144637028868467
5.78,-0.00031557294684513774,-0.08276448594946455
5.7,-0.0002996227416809965,-0.20181249331890908
8.1,0.000283888437199238,0.12698511222825265
7.62,-0.0002546362094530915,-0.2246113925921153
2.82,-0.00021847329565993366,-0.007909609277207406
7.42,-0.00021628990570945358,-0.01814907805429249
7.26,-0.00018995788467330145,-0.03264403165915888
4.5,0.00018902292636842965,0.0014043038273322806
5.98,0.00017710389923759098,0.1522198274637628
8.5,0.0001573678483236795,0.06523096826597417
7.66,-0.00014858142287590425,-0.13680295688456529
5.74,-0.00013810004334544892,-0.04629319783026486
6.82,-0.00013756486917202012,-0.035329349502017805
5.94,-0.00013664430554445514,-0.0619304254293964
7.54,-0.0001272127745149655,-0.03271829928858411
5.5,-0.00011871295084792271,-0.07803266838240178
7.7,-0.00011251691186095087,-0.06678567045994586
6.5,0.0001117068572530442,0.04610768333443646
7.5,-0.00011081348226125911,-0.032822277672977074
5.82,-0.00010134846610572575,-0.06839017211391048
0.62,-8.432429198498414e-05,-0.11084160468953007
7.46,8.37167548812228e-05,0.2355375152284314
5.66,-6.765434579594533e-05,-0.07483334148372899
0.02,5.7669698884609364e-05,0.02654229833349573
5.54,-5.257715266302073e-05,-0.0459033388631277
6.06,-4.8663240594612367e-05,-0.11453714030854786
6.86,4.611829375793387e-05,0.005376361049094109
5.86,-4.456823523453818e-05,-0.07482013407340983
7.58,-4.456305326669761e-05,-0.05791468775520539
2.58,4.309338909139295e-05,0.006557073020145743
0.1,3.8601673524866764e-05,0.09207036104869815
2.9,3.6537911205643626e-05,0.001775100690860289
0.14,3.653219352952733e-05,0.0776685543817533
6.02,3.406728044529038e-05,0.05625350486212758
8.58,-2.9877729693650615e-05,-0.08933858743872987
6.18,2.7443942611070495e-05,0.03238498780012009
6.58,-2.7333732981004946e-05,-0.11621668346699639
7.9,2.7164906262414315e-05,0.0048058659599156135
9.7,2.688937074581828e-05,0.17061130516235679
6.34,-2.535231440864464e-05,-0.29554214818221586
0.54,-2.4467853063959053e-05,-0.0908481858226358
8.62,2.3739253050959443e-05,0.09949383757027178
0.42,-2.328617019451646e-05,-0.24770688655455556
