ID,sec-type,dbRDA1,MDS1,MDS2
10019811cSe,sec,-0.07502043820533581,-0.18003519535432266,0.23707342961601705
10020211cSe,sec,0.038318854255241334,-0.22847962488969495,-0.3464068674401493
10020511cSe,sec,0.10731589525539242,0.11351378393405565,0.030237453769388637
10020911cSe,sec,0.11439586167290892,0.11827248887495859,0.07634324839127289
10021011cSe,sec,-0.11016800570738386,-0.25996418206239613,0.1675095074926067
10021511cSe,sec,-0.06326679544025032,-0.023516790078642748,0.1412114734335767
10022011cSe,sec,-0.09578047006323975,0.1459397896571392,0.03391453558584657
10023111cSe,sec,-0.08340492003631265,-0.05957836491892731,0.04935383886728492
10023211cSe,sec,0.13685907369617384,0.13126573736668756,-0.1784476263787268
10023411cSe,sec,0.15614592166284805,0.15549365197080872,0.032921992126678096
10023811cSe,sec,0.11832190203885613,0.23445832839785952,0.08475339955827987
10024011cSe,sec,0.06691441298915653,0.10086067466911343,0.01597406089484079
10024111cSe,sec,-0.12281682137592062,-0.31216474555709073,0.17631370493420007
10024511cSe,sec,-0.1746305951943332,-0.27350980194414043,-0.027886811889428258
10024811cSe,sec,0.09476874864973543,0.2576175568959755,0.060290502182271215
10024911cSe,sec,-0.05607123368614951,-0.029413249038242197,-0.06832496718450698
10025111cSe,sec,0.04609786993364232,0.10410582486288639,0.08468999605867204
10025211cSe,sec,0.033529390858868115,0.24989323987020604,0.06274034203395303
10026411cSe,sec,0.143211524713964,0.20334787834228943,0.06432435991254307
10026511cSe,sec,0.1238960812018285,0.09457192563242087,-0.05593285822072371
10026811cSe,sec,-0.2124485339115369,-0.27887084454733047,0.16729439927650508
10027611cSe,sec,0.1714729377711891,0.15346665515659866,-0.07299082307951803
10028211cSe,sec,-0.14994842450440385,-0.5407813334592525,0.07416164456370669
10029511cSe,sec,0.049647105639549806,0.11694119347072592,0.03207185247086897
10029611cSe,sec,0.1356973596877918,0.19609224736976907,0.07654106542596674
10029911cSe,sec,0.10438114089116705,0.21082543382115132,0.029013193411927287
11001511cSe,sec,0.0054279066793226855,-0.07295968072242175,-0.033783263564637636
11002311cSe,sec,-0.028948703437895865,-0.09170636571925721,-0.0221096675677998
11002411cSe,sec,0.12730853608187798,0.2074389461958035,-0.013977410574136165
11003211cSe,sec,0.04006866922882128,0.0005025096170031939,-0.00296724930599423
11003311cSe,sec,0.09039223442705956,0.22757547631850178,0.013845494981341858
11004111cSe,sec,0.03362212837115223,0.0624143630604885,-0.04580405152499337
11004611cSe,sec,-0.09699352764026208,-0.31341417983735415,0.1255733039031019
11005711cSe,sec,0.028277707532367483,0.038346407362889294,-0.012550422707578194
10005711cSe,non-sec,-0.26045530248805143,-0.07971118728167521,-0.1834785859694662
10008011cSe,non-sec,-0.03494733296018501,-0.030829066487273928,0.16470528497190992
10015711cSe,non-sec,-0.12447084685232798,0.007313997319494163,-0.05948181495605951
10016111cSe,non-sec,0.03382685759218186,0.2922851261813377,0.02878718653129949
10018611cSe,non-sec,-0.03804013869326566,0.10207163305605138,0.03361461750082305
10020811cSe,non-sec,-0.19080502685883138,-0.26971920017310846,0.055138793781259555
10021211cSe,non-sec,-0.34899760406570257,-0.04131260532428739,-0.18588728209382707
10021311cSe,non-sec,-0.06610580366606124,-0.13133578743936664,0.20108938571451426
10022611cSe,non-sec,0.09379665210163962,0.10387531527791416,-0.060830854497639156
10022711cSe,non-sec,-0.13401419797214278,-0.2603800039744526,0.18425330636040335
10023511cSe,non-sec,-0.0466081259613358,0.2474848575225456,0.006887783842288759
10024411cSe,non-sec,-0.02634667484494605,0.26392385900306903,0.023685228215092054
10024611cSe,non-sec,-0.1501796319415907,0.1278358950843096,0.00944852496978613
10025911cSe,non-sec,-0.02605942935094189,0.015216693256389765,-0.09159070828097303
11001311cSe,non-sec,-0.19109187655424226,-0.3440271592680905,-0.03419555818574014
11001811cSe,non-sec,-0.0851718671597832,-0.2588599364437485,0.13099566127331613
11001911cSe,non-sec,-0.016720767964682533,-0.009069576473006352,-0.24397535287247388
11004511cSe,non-sec,0.04863536945973918,0.26523714616389793,0.02083438369548547
