seed,draw,R2Y,Q2,r_pcorr,top_overlap
141,random,0.6591777492128676,0.3946102233632365,0.9446311271409806,6
142,matched,0.6592121711890064,0.4118384912816957,0.9461905033904807,7
142,random,0.685009455016471,0.48775735012612575,0.9682208749153401,6
143,matched,0.6980833133993856,0.4111260970579782,0.9649487143917943,7
143,random,0.703137694015475,0.3596465621086894,0.9549584247933481,6
144,matched,0.6780442260593665,0.3788712324058511,0.9776040604166498,7
144,random,0.656757769829174,0.38567197107366924,0.9405013504802161,6
145,matched,0.6541658902715966,0.3094903624975264,0.9690401390464224,4
145,random,0.6611856147898781,0.2571461863860045,0.9653624264579884,8
146,matched,0.6689199236757337,0.3433413805372245,0.9509020881443343,6
146,random,0.6605701825626722,0.39362647988503907,0.9746950199512033,6
147,matched,0.7116971452903704,0.43708936150579447,0.9305412528866006,5
147,random,0.6803073873865433,0.21585324615174262,0.9664264906282386,8
148,matched,0.672719874207518,0.40872161552390907,0.9693926511028244,6
148,random,0.6678612179632804,0.376502329345895,0.9767766362842619,8
149,matched,0.672158964569502,0.4680774455768384,0.9701858032297286,6
149,random,0.6746038233031069,0.4132311684413543,0.9521056883369102,6
150,matched,0.7144319592218392,0.3735939947828728,0.9454830312772851,6
150,random,0.6681613879845925,0.4156027428720548,0.9604949856791978,6
151,matched,0.7132029715088285,0.4210045363172361,0.9655713224914116,8
151,random,0.7079527671867993,0.2944592846537114,0.9467143754743,6
152,matched,0.6662517542360284,0.35388558297149986,0.9655949864951981,7
152,random,0.6580840256837418,0.3159283487264216,0.9670760267321644,7
153,matched,0.6774017244632864,0.47435137429037577,0.9718471794955488,7
153,random,0.7298402415509315,0.3894460447912711,0.9522672563627612,6
154,matched,0.6657509314325805,0.3300799113538415,0.9629470660715306,6
154,random,0.6591939818443947,0.3431085999284582,0.9670939787350367,7
155,matched,0.6763598047891388,0.5102368292808857,0.9736154517784725,6
155,random,0.6755759829073142,0.3863158835077446,0.9624852099976338,8
156,matched,0.6930339308276461,0.2547168152270515,0.9677655468424876,8
156,random,0.6701426461031212,0.4131205151761582,0.9761989081918254,7
157,matched,0.6829936231057818,0.4398847570135306,0.9663767146202745,6
157,random,0.6495133053688279,0.3243279159790621,0.9772947963671674,7
158,matched,0.6837267176005035,0.4578292612385696,0.9577581212412994,6
158,random,0.671719657814084,0.3679103055088728,0.9655443944871034,7
159,matched,0.7011881679772971,0.401199686557667,0.9441635590661696,5
159,random,0.6455159022436061,0.3862231545014362,0.9641988102718098,7
160,matched,0.7225323471850197,0.4058317666303879,0.9483014957282395,5
160,random,0.6822015169438818,0.3622954955622366,0.9693387950942073,7
161,matched,0.6926247728669096,0.4401996072976021,0.974805179968829,9
161,random,0.6612798211375357,0.07590515243253071,0.9695990991358561,4
162,matched,0.694806745347567,0.4442997478640264,0.9787089245934281,7
162,random,0.6866406620006188,0.34699427153374485,0.9594880415180868,8
163,matched,0.6644420516096703,0.4086098935349002,0.9738904438224713,8
