ppm,p_corr_unadjusted,p_corr_matched_mean,p_corr_matched_lo95,p_corr_matched_hi95,width95
8.06,-0.19155426173562423,-0.196755407058929,-0.34090039475916317,-0.07482668965674587,0.2660737051024173
8.02,-0.4928059195886413,-0.5088411379762399,-0.6220373672611662,-0.4013099751485427,0.2207273921126235
7.98,0.027188674210657775,0.06968544292004844,0.007873044775779096,0.133481009265185,0.1256079644894059
7.94,-0.0458101384926064,-0.05476972083169043,-0.22494776436602462,0.0395634880267084,0.26451125239273304
7.9,-0.404318197986599,-0.3565611349895837,-0.48872078298307886,-0.2261191190178962,0.2626016639651827
7.86,-0.06726330888024813,-0.062365078094144585,-0.13540764612078815,0.019585497854820808,0.15499314397560895
7.82,0.10734993973157089,0.07287641754774295,-0.041425203354502095,0.16028075248621088,0.20170595584071296
7.78,-0.017407203941891124,0.01248333658061315,-0.07598741760981735,0.08527426243400683,0.16126168004382418
7.74,-0.39325978253673816,-0.4059493340002856,-0.5695078788416735,-0.27088896885526903,0.2986189099864045
7.7,-0.4490807684100478,-0.41810472389485454,-0.536442358756595,-0.2938250658498231,0.24261729290677186
7.66,0.02883984795206602,0.09885070276786365,0.01904356937557651,0.1716262515421901,0.15258268216661358
7.62,-0.12240820331915912,-0.12821317781505143,-0.25277693781611077,-0.02382853913682404,0.22894839867928674
7.58,0.07337771179550326,0.11746528497901312,0.048956645828399876,0.18961633043494458,0.1406596846065447
7.54,-0.3746784046287753,-0.38244992007985457,-0.5404572805538589,-0.26152007744232353,0.27893720311153536
7.5,-0.1471455341103155,-0.16546254180968842,-0.3100864347186813,-0.06202510616734196,0.24806132855133933
7.46,-0.11222702589271355,-0.10884096454803757,-0.23022263960602204,-0.003192547597352707,0.22703009200866933
7.42,-0.46643076873573536,-0.4505512061120325,-0.5855006950512556,-0.3300929049798487,0.25540779007140685
7.38,-0.47030378146317975,-0.44911817396874015,-0.5914163048191172,-0.3298701822937822,0.26154612252533505
7.34,-0.45178812843890714,-0.42999919032013634,-0.5826155329344239,-0.30785676845753424,0.2747587644768897
7.3,-0.4485684127097479,-0.43847130809364815,-0.5879568008889743,-0.3133469225908207,0.2746098782981536
7.26,-0.40410701808140675,-0.3954325831154057,-0.5279834364509786,-0.2784016606188891,0.24958177583208946
7.22,-0.0070559500819513754,-0.01245085365914386,-0.10860399175501992,0.05284195070253026,0.16144594245755017
7.18,-0.4562143587873988,-0.4553360221060309,-0.5753419711737802,-0.33043643943955053,0.24490553173422963
7.14,-0.07762397218888184,-0.09082431193422562,-0.18645100188062472,-0.01251865271897401,0.1739323491616507
7.1,-0.4720183399901221,-0.44175709562315274,-0.5799495427338706,-0.31772341573893104,0.2622261269949395
7.06,0.14625217273982422,0.15336905346938504,0.0724121349185687,0.22316002774623642,0.1507478928276677
7.02,0.03375085035294173,0.07567584003238217,-0.014889328456915363,0.15148203658048737,0.16637136503740274
6.98,0.05254975813740181,0.04224623340981748,-0.01704828957142224,0.09840558975703163,0.11545387932845387
6.94,-0.025695934290030063,-0.058941988400564596,-0.1524227959536775,0.05085459880330107,0.20327739475697856
6.9,-0.4839944633978277,-0.474643447848311,-0.5868392811017288,-0.36410563760244585,0.22273364349928293
6.86,-0.06714128478006132,-0.08889913236205406,-0.2353642196043174,0.0209446508748098,0.2563088704791272
6.82,-0.0356705315852088,-0.056081791306742,-0.19595971147766406,0.029516195875501736,0.2254759073531658
6.78,-0.362111276587865,-0.3330143271575926,-0.3982960662467751,-0.25741827953856383,0.14087778670821127
6.74,-0.16637954423302923,-0.19708235149432377,-0.29473428975578747,-0.08730178457712158,0.2074325051786659
6.7,0.16645223183864324,0.21836354036126163,0.14407515403902232,0.29374663445974936,0.14967148042072703
6.66,0.01132212707069908,0.004395212637528835,-0.06496329865439816,0.07713645694558753,0.1420997555999857
6.62,0.006182097817945474,-0.01608611140585678,-0.10131322508740767,0.0545599533725286,0.15587317845993626
6.58,0.05205332665596113,0.05068760541863168,-0.08298286213461081,0.12334865299129127,0.2063315151259021
6.54,-0.04377168610025301,-0.027159920878888605,-0.11792967462076703,0.052013250250697515,0.16994292487146456
6.5,0.04957029001820754,0.07956255499144765,-0.03845451326575977,0.13683601355426733,0.1752905268200271
6.46,-0.12812188047110612,-0.17657941481106154,-0.2544490324559647,-0.09202014502287498,0.1624288874330897
6.42,0.06530911043781656,0.08566792044898464,0.006130383423167489,0.18295874793023284,0.17682836450706535
6.38,-0.02599275463576088,-0.02320998894034054,-0.09674157762146295,0.05005146673492058,0.14679304435638352
6.34,0.07114817525679515,0.11505638041155429,0.033715488585083914,0.18803391288819596,0.15431842430311205
6.3,-0.07967228710945676,-0.09541850332298506,-0.1822608462121459,-0.025160869045279973,0.1570999771668659
6.26,0.07553042658431428,0.09815285206906069,0.027980696957188553,0.1666179986719905,0.13863730171480196
6.22,-0.05482642476313843,-0.07069643261228238,-0.17776023461099716,0.027667874273205443,0.2054281088842026
6.18,-0.016317421952325356,-0.04576653559837017,-0.12346173050281571,0.034785083339154046,0.15824681384196976
6.14,0.013479734491457306,6.821168090228303e-05,-0.07400496580568774,0.06260453238979277,0.13660949819548052
6.1,-0.015357721893639365,0.004013839128899237,-0.06526559116983664,0.07061032977277756,0.1358759209426142
6.06,0.06131245307050508,0.11951822555879354,0.04890509514389622,0.18911316878752812,0.14020807364363191
6.02,-0.1466489120265066,-0.1708579061140902,-0.24487821406250693,-0.09697931122826628,0.14789890283424065
5.98,-0.022725040643505213,-0.002686351262559518,-0.11211492869937413,0.08841773175671212,0.20053266045608625
5.94,0.056473439596898954,0.09101579563042335,0.03141654356770797,0.14713490333179988,0.11571835976409191
5.9,-0.0891371626803327,-0.10153539499109687,-0.19419594537014576,-0.02897532139308483,0.16522062397706092
5.86,-0.00019961214432444917,-0.003500479059757666,-0.08580481275379985,0.10043262103442198,0.18623743378822183
5.82,0.1547810204543905,0.2104130982017619,0.11055339084293424,0.34813517050678294,0.2375817796638487
5.78,0.10745260983364295,0.1608831375230715,0.08164817202508068,0.24479495750616634,0.16314678548108566
5.74,0.05909907683891368,0.10054794892189876,0.021702625263452197,0.17441287930386806,0.15271025404041585
5.7,0.011001035580017889,0.03150243106141192,-0.10350247503278977,0.08083314555081617,0.18433562058360592
5.66,0.08218115511345758,0.14464193159272076,0.09153336563526727,0.20623223304734553,0.11469886741207826
5.62,0.009007998567766715,-0.01722476599126995,-0.12884167191414791,0.05714171750956288,0.1859833894237108
5.58,-0.06919830039256988,-0.08718741839035525,-0.18037119873829638,-0.009723206333758904,0.17064799240453749
5.54,0.07474348943194929,0.1620524594017142,0.07900886124746791,0.2292160840392839,0.15020722279181598
5.5,0.11888639346081867,0.14796434388809276,0.07648666015584192,0.22360880165995,0.14712214150410807
5.46,0.3558931235669847,0.3895583603765106,0.30751943677453775,0.4674529968622766,0.15993356008773885
5.42,-0.6198999085140195,-0.6111988909364843,-0.6607024001499187,-0.5663936777462004,0.09430872240371824
5.38,-0.44160386909810345,-0.4400854467183846,-0.5213156018489034,-0.37207013121414356,0.1492454706347598
5.34,0.006353909519937164,0.05790716374963679,-0.0038472034499078623,0.15371925963947874,0.1575664630893866
5.3,0.3409057446812647,0.39349314830724147,0.3235371537346818,0.4801830143325923,0.15664586059791052
5.26,0.06819125127308048,0.056361362566452085,-0.04349842938375001,0.14741812206623317,0.19091655144998318
5.22,0.06510806608823473,0.09893451677025618,0.013538849739097194,0.189135832038714,0.17559698229961682
5.18,0.17410498586550477,0.19802395701198341,0.13426630198107548,0.27268626942713037,0.1384199674460549
5.14,0.1102205407649421,0.15283698478583524,0.09422089218492491,0.2114559099083237,0.11723501772339878
5.1,-0.4495013395483839,-0.4554514177347729,-0.5186053798461439,-0.38854963825060324,0.13005574159554062
5.06,-0.18653207336410452,-0.20751213559656811,-0.4093394370574438,-0.07563000748609551,0.3337094295713483
5.02,-0.3947471378223524,-0.4227314550730402,-0.5091618916461091,-0.3544662078755916,0.15469568377051757
4.98,0.03950777399304757,-0.08498625256415476,-0.25635572522171957,0.052010685148335394,0.30836641037005497
4.94,0.06710208773303264,0.06725436767041497,-0.009205133291215648,0.11541232843157102,0.12461746172278668
4.9,0.06364974310808008,0.028683529723335405,-0.0969131768276619,0.08967022834126828,0.18658340516893018
4.66,-0.053502317656516814,-0.056629769879742026,-0.14114306361231058,0.038548879403907436,0.17969194301621802
4.62,0.4284060746226504,0.4584937588063655,0.39963519593765623,0.5220318166848669,0.12239662074721064
4.58,-0.0011024007201751115,0.0037000602031071446,-0.06267613542437392,0.07340105815673759,0.1360771935811115
