metabolite,timing,n_sec_pos,n_sec_neg,p-value,q-value,reject_fdr
Creatine,2,77,21,0.9526861820397317,0.9526861820397317,False
Creatine phosphate,0,110,26,0.7588254083308675,0.7588254083308675,False
Creatine phosphate,1,111,25,0.2688446330747138,0.4032669496120707,False
Creatine phosphate,2,77,21,0.22153280718626087,0.4032669496120707,False
Creatinine,0,110,26,0.902422877470856,0.902422877470856,False
Creatinine,1,111,25,0.6152120703102424,0.902422877470856,False
Creatinine,2,77,21,0.7440201580942141,0.902422877470856,False
Ethanolamine,0,110,26,0.37286482750977734,0.9216336482695823,False
Ethanolamine,1,111,25,0.8921765406865364,0.9216336482695823,False
Ethanolamine,2,77,21,0.9216336482695823,0.9216336482695823,False
Fucose,0,110,26,5.531451894188213e-38,1.659435568256464e-37,True
Fucose,1,111,25,7.881905798120779e-36,1.1822858697181169e-35,True
Fucose,2,77,21,2.1460765774252876e-31,2.1460765774252876e-31,True
Fumarate,0,110,26,0.48320664331016655,0.7248099649652499,False
Fumarate,1,111,25,0.8263018247080515,0.8263018247080515,False
Fumarate,2,77,21,0.16620816582966033,0.498624497488981,False
Galactose,0,110,26,0.19855005779553375,0.530276641402989,False
Galactose,1,111,25,0.530276641402989,0.530276641402989,False
Galactose,2,77,21,0.45124042219015176,0.530276641402989,False
Glucose,0,110,26,0.9183132873815676,0.9183132873815676,False
Glucose,1,111,25,0.8710229569920106,0.9183132873815676,False
Glucose,2,77,21,0.9147136218707308,0.9183132873815676,False
Glutamate,0,110,26,0.7563068156165965,0.9577448525849237,False
Glutamate,1,111,25,0.9577448525849237,0.9577448525849237,False
Glutamate,2,77,21,0.4524203633881027,0.9577448525849237,False
Glutamine,0,110,26,0.36265509768687704,0.6967918725523091,False
Glutamine,1,111,25,0.5685118850514993,0.6967918725523091,False
Glutamine,2,77,21,0.6967918725523091,0.6967918725523091,False
Glycine,0,110,26,0.3281461093818882,0.41837147152885895,False
Glycine,1,111,25,0.41837147152885895,0.41837147152885895,False
Glycine,2,77,21,0.21959421391979972,0.41837147152885895,False
Histidine,0,110,26,0.3626197879162366,0.543929681874355,False
Histidine,1,111,25,0.9771497323838907,0.9771497323838907,False
Histidine,2,77,21,0.18743640134988027,0.543929681874355,False
Isoleucine,0,110,26,0.18905939679921593,0.5671781903976478,False
Isoleucine,1,111,25,0.9648016385388838,0.9648016385388838,False
Isoleucine,2,77,21,0.48831231613906007,0.7324684742085902,False
Lactate,0,110,26,0.3292213595103199,0.8390000514440851,False
Lactate,1,111,25,0.8390000514440851,0.8390000514440851,False
Lactate,2,77,21,0.5869942374018223,0.8390000514440851,False
Lactose,0,110,26,0.0047770841641915284,0.014331252492574586,True
Lactose,1,111,25,0.05452697490257098,0.08179046235385648,False
Lactose,2,77,21,0.29887034428271275,0.29887034428271275,False
Leucine,0,110,26,0.3403912675112248,0.5105869012668373,False
Leucine,1,111,25,0.7310521745786187,0.7310521745786187,False
Leucine,2,77,21,0.21916175889129902,0.5105869012668373,False
Lysine,0,110,26,0.3797290398616483,0.5920390101962058,False
Lysine,1,111,25,0.47721961575162525,0.5920390101962058,False
Lysine,2,77,21,0.5920390101962058,0.5920390101962058,False
Methanol,0,110,26,0.48273918594759685,0.7241087789213954,False
Methanol,1,111,25,0.8621615403900711,0.8621615403900711,False
Methanol,2,77,21,0.06895535415801714,0.20686606247405143,False
Methionine,0,110,26,0.16974707934518585,0.5092412380355575,False
Methionine,1,111,25,0.6110942429364401,0.6110942429364401,False
Methionine,2,77,21,0.3811199105932696,0.5716798658899045,False
O-Phosphocholine,0,110,26,0.5142101199353583,0.8160648683267974,False
O-Phosphocholine,1,111,25,0.8334205305792802,0.8334205305792802,False
O-Phosphocholine,2,77,21,0.5440432455511982,0.8160648683267974,False
Phenylalanine,0,110,26,0.16722550026638078,0.5016765007991424,False
Phenylalanine,1,111,25,0.834587394996447,0.834587394996447,False
Phenylalanine,2,77,21,0.540183487453446,0.8102752311801691,False
Proline,0,110,26,0.37684526168136634,0.5652678925220496,False
Proline,1,111,25,0.9652880206008317,0.9652880206008317,False
Proline,2,77,21,0.14693245718141623,0.4407973715442487,False
Pyruvate,0,110,26,0.7121640903132501,0.7121640903132501,False
Pyruvate,1,111,25,0.3852551076376996,0.5778826614565494,False
Pyruvate,2,77,21,0.3149526818173768,0.5778826614565494,False
Succinate,0,110,26,0.9022395095088672,0.9022395095088672,False
Succinate,1,111,25,0.1647617971233462,0.49428539137003863,False
Succinate,2,77,21,0.851697543150109,0.9022395095088672,False
Taurine,0,110,26,0.9861647287457327,0.9861647287457327,False
Taurine,1,111,25,0.716540940849767,0.9861647287457327,False
Taurine,2,77,21,0.7620770482785262,0.9861647287457327,False
Threonine,0,110,26,0.4594540020452523,0.4594540020452523,False
Threonine,1,111,25,0.3391145106792032,0.4594540020452523,False
Threonine,2,77,21,0.2825774941339546,0.4594540020452523,False
Tryptophan,0,110,26,0.5906285325548132,0.5906285325548132,False
Tryptophan,1,111,25,0.3684395296593976,0.5906285325548132,False
Tryptophan,2,77,21,0.57959679243261,0.5906285325548132,False
Tyrosine,0,110,26,0.18153595525847718,0.5446078657754316,False
Tyrosine,1,111,25,0.5960450409384127,0.6322220575072506,False
Tyrosine,2,77,21,0.6322220575072506,0.6322220575072506,False
Urea,0,110,26,0.324424023089299,0.48663603463394856,False
Urea,1,111,25,0.026907737014113517,0.08072321104234055,False
Urea,2,77,21,0.6060873755908508,0.6060873755908508,False
Uridine,0,110,26,0.7606816770260023,0.9285746652299629,False
Uridine,1,111,25,0.2765119048341891,0.8295357145025672,False
Uridine,2,77,21,0.9285746652299629,0.9285746652299629,False
Valine,0,110,26,0.2055869480034899,0.6167608440104697,False
Valine,1,111,25,0.6264926947842702,0.6264926947842702,False
Valine,2,77,21,0.6196343696091046,0.6264926947842702,False
cis-Aconitate,0,110,26,0.4784666215002246,0.4784666215002246,False
cis-Aconitate,1,111,25,0.4556184083984773,0.4784666215002246,False
cis-Aconitate,2,77,21,0.2854826675718744,0.4784666215002246,False
myo-Inositol,0,110,26,0.9406953452337841,0.9406953452337841,False
myo-Inositol,1,111,25,0.9264937384526839,0.9406953452337841,False
myo-Inositol,2,77,21,0.9038842423258091,0.9406953452337841,False
sn-Glycero-3-phosphocholine,0,110,26,0.6875674607401628,0.6875674607401628,False
sn-Glycero-3-phosphocholine,1,111,25,0.6236294844575048,0.6875674607401628,False
sn-Glycero-3-phosphocholine,2,77,21,0.14429593254901948,0.4328877976470585,False
