metabolite,group_t,group_c,meandiff,p-adj,lower,upper,reject
Methionine,1,0,-0.033284441176470586,0.0,-0.041537009572283325,-0.025031872780657848,True
Methionine,2,0,-0.036701548019207685,0.0,-0.04476611434323794,-0.02863698169517743,True
Methionine,2,1,-0.0034171068427370924,0.0002621824700276276,-0.005428963723592064,-0.0014052499618821207,True
O-Phosphocholine,1,0,0.3010088014705882,6.58018084465084e-12,0.20467441360793381,0.39734318933324264,True
O-Phosphocholine,2,0,0.006321496548619132,0.9842484611240027,-0.08155962732386948,0.09420262042110775,False
O-Phosphocholine,2,1,-0.2946873049219691,0.0,-0.37679010551823977,-0.21258450432569842,True
Phenylalanine,1,0,-0.03180111029411764,6.103869221174563e-08,-0.04449619897918584,-0.019106021609049444,True
Phenylalanine,2,0,-0.03539927956182472,1.2155212392173098e-09,-0.04784443107695127,-0.022954128046698167,True
Phenylalanine,2,1,-0.003598169267707082,0.011904603029578298,-0.00653758322793258,-0.000658755307481584,True
Proline,1,0,-0.21659983823529405,2.920175212750564e-11,-0.28598769692929665,-0.14721197954129145,True
Proline,2,0,-0.25051532442977187,0.0,-0.3183479011991314,-0.18268274766041231,True
Proline,2,1,-0.03391548619447782,5.014119727198008e-06,-0.05003543321583338,-0.017795539173122252,True
Pyruvate,1,0,-0.005211338235294112,0.000161671722106016,-0.00820649848912789,-0.0022161779814603324,True
Pyruvate,2,0,-0.007585888055222081,3.836816031554946e-08,-0.010609174050112767,-0.004562602060331396,True
Pyruvate,2,1,-0.0023745498199279694,0.1945157884845099,-0.00560388814044375,0.0008547885005878108,False
Succinate,1,0,0.004276007352941171,0.003362087245390888,0.001203552184486592,0.00734846252139575,True
Succinate,2,0,-0.0026741126950780344,0.1292997804211058,-0.005923229466109799,0.0005750040759537299,False
Succinate,2,1,-0.0069501200480192055,1.1664799370758594e-05,-0.01041271693999346,-0.00348752315604495,True
Taurine,1,0,-0.08468273529411782,1.929932486377517e-06,-0.12372671319534083,-0.045638757392894816,True
Taurine,2,0,-0.12551196698679482,1.4740431097948203e-12,-0.1640080683770459,-0.08701586559654371,True
Taurine,2,1,-0.04082923169267699,0.004637876041250211,-0.071043741434509,-0.010614721950844976,True
Threonine,1,0,-0.05214672058823536,3.2396409110901914e-08,-0.07260666460231992,-0.031686776574150796,True
Threonine,2,0,-0.03884266896758712,6.71954833966204e-05,-0.0599375393479057,-0.01774779858726853,True
Threonine,2,1,0.013304051620648238,0.006314622620104737,0.0031595799249256127,0.023448523316370866,True
Tryptophan,1,0,-0.019565742647058817,0.0,-0.02419981555219815,-0.014931669741919482,True
Tryptophan,2,0,-0.021574926320528206,0.0,-0.02603373408318292,-0.01711611855787349,True
Tryptophan,2,1,-0.0020091836734693887,0.0020163756549167466,-0.003383664753199017,-0.0006347025937397603,True
Tyrosine,1,0,-0.0488499632352941,1.506905711323725e-11,-0.06423902011788482,-0.033460906352703386,True
Tyrosine,2,0,-0.05530662590036014,0.0,-0.0704116096201202,-0.04020164218060007,True
Tyrosine,2,1,-0.006456662665066034,7.333558132294193e-05,-0.00997947847793403,-0.002933846852198037,True
Urea,1,0,0.2807828602941178,1.0186377519261214e-08,0.172877605518947,0.38868811506928863,True
Urea,2,0,0.4406895529711887,3.863576125695545e-14,0.3186850013801031,0.5626941045622743,True
Urea,2,1,0.15990669267707092,0.017088710121273665,0.0232981004288165,0.2965152849253253,True
Uridine,1,0,-0.01707194117647059,0.0,-0.021123520804066032,-0.013020361548875144,True
Uridine,2,0,-0.019644210084033612,4.973799150320701e-14,-0.023444066330445188,-0.015844353837622036,True
Uridine,2,1,-0.0025722689075630256,0.018247738793237156,-0.004788520610519295,-0.00035601720460675616,True
Valine,1,0,-0.11124880147058835,1.567634910770721e-13,-0.1426745677830471,-0.07982303515812961,True
Valine,2,0,-0.12733748694477803,3.6193270602780103e-14,-0.1581241706025898,-0.09655080328696627,True
Valine,2,1,-0.016088685474189693,4.812872280601788e-06,-0.02375088793732907,-0.008426483011050315,True
cis-Aconitate,1,0,0.0004372058823529489,0.7970428443425799,-0.001168101688918872,0.00204251345362477,False
cis-Aconitate,2,0,-0.005464744897959177,0.0,-0.006689101105606102,-0.004240388690312252,True
cis-Aconitate,2,1,-0.005901950780312126,0.0,-0.007331814880665964,-0.004472086679958289,True
myo-Inositol,1,0,-0.5748539485294119,0.0,-0.6765977012484675,-0.4731101958103562,True
myo-Inositol,2,0,-0.8097561394057623,9.259260025373806e-14,-0.9088955825069139,-0.7106166963046107,True
myo-Inositol,2,1,-0.23490219087635045,0.0,-0.28849589809958853,-0.1813084836531124,True
sn-Glycero-3-phosphocholine,1,0,0.2963538750000001,7.538414337204813e-14,0.2566625007565494,0.3360452492434508,True
sn-Glycero-3-phosphocholine,2,0,0.3045163900060026,2.942091015256665e-14,0.26239732281111333,0.3466354572008919,True
sn-Glycero-3-phosphocholine,2,1,0.008162515006002513,0.9324697349015622,-0.04590737803828381,0.06223240805028884,False
